Case_ID,País,Pais_core8,Nombre oficial de la política/programa/instrumento,Año inicio–vigencia,Entidad líder (responsable),Tipo de instrumento,Inst_Regulatorio,Inst_EconFin,Inst_Cooperacion,Inst_Innovacion,Inst_CompraPublica,Inst_EstandarGuia,Inst_DatosTrazabilidad,Sectores involucrados,Flujos foco,Mecanismo de cooperación,Financiamiento,Programa asociado,Resultados reportados,KPI asociados,Barreras identificadas,Barreras_Tags,Habilitadores identificados,Habilitadores_Tags,Replicabilidad para Chile,Replicabilidad_nivel,Replicabilidad_justificacion_1linea,Quick win potencial,QuickWin_si_no,QuickWin_justificacion_1linea,Fuente primaria,Tipo de fuente,Fuente secundaria
DEU-01,Alemania,Sí,Ley de Economía Circular (Kreislaufwirtschaftsgesetz),2012 (enmendada 2020),Ministerio de Medio Ambiente (BMUV),Regulatorio (marco legal de residuos),Sí,No,No,No,No,No,No,"Todos (urbano, industrial; envases, etc.)","Residuos, Materiales",(No aplica – instrumento legal),(No aplica),–,99% de residuos municipales desviados de vertedero; tasa de reciclaje municipal ~67%. Aumento continuo en reciclaje de envases (68% en 2020).,Tasa de reciclaje (%) residuos municipales; % residuos envases valorizados,Barrera_Regulatoria: Débil énfasis en prevención de residuos – el volumen de desechos municipales no se reduce.,Barrera_Regulatoria;Barrera_Territorial,Habilitador_Institucional: Sistema robusto de gestión de residuos y alta fiscalización – Alemania es referente en manejo de residuos en Europa.,Habilitador_Institucional,Alta – Chile puede fortalecer su Ley REP y marco de residuos sin cambios legales mayores (ya existe Ley 20.920).,Alta,Chile puede fortalecer su Ley REP y marco de residuos sin cambios legales mayores (ya existe Ley 20.920).,No – Requiere implementación progresiva y coordinación legislativa.,No,Requiere implementación progresiva y coordinación legislativa.,,Ley nacional (transposición UE),(evaluación OCDE sobre residuos)
DEU-02,Alemania,Sí,Programa Alemán de Eficiencia de Recursos ProgRess III,2020–2023 (fase III),Ministerio de Medio Ambiente (BMUV),Estrategia nacional (hoja de ruta multianual),No,No,No,No,No,No,No,"Industria, Construcción, Agro, Energía","Materiales, Energía, Agua",Triple hélice (gobierno-industria-academia),Público (fondos federales),Estrategia Desarrollo Sostenible,Productividad de materias primas aumentó +27% (2010–2022). Iniciativas piloto en digitalización e Industria 4.0 para ahorrar recursos. Se amplió uso de materias primas secundarias (meta 15% al 2030).,Productividad de recursos (PIB/consumo material); % material secundario en la economía,Barrera_Económica: Persisten incentivos a materias vírgenes baratas; desacoplamiento absoluto insuficiente (el consumo material total sigue alto).,Barrera_Económica,"Habilitador_Político: Visión de largo plazo con metas claras al 2030/2050 alineadas a ODS; coordinación interministerial (economía, ambiente) desde ProgRess I.",Habilitador_Institucional;Habilitador_Político,"Alta – Chile puede adoptar un programa nacional de eficiencia de recursos articulando MMA, Economía y Ciencia (lineamientos OCDE).",Alta,"Chile puede adoptar un programa nacional de eficiencia de recursos articulando MMA, Economía y Ciencia (lineamientos OCDE).",No – Implica cambio estructural y esfuerzos sostenidos más allá de 2 años.,No,Implica cambio estructural y esfuerzos sostenidos más allá de 2 años.,,Estrategia gubernamental,(informe PBL/Paises Bajos)
DEU-03,Alemania,Sí,Ley de Envases y Registro Central (VerpackG & ZSVR),2019–vigente,BMUV / Autoridad Central Envases (ZSVR),Regulatorio + Datos (EPR trazabilidad),Sí,No,No,No,No,No,Sí,Envases y embalajes (consumo masivo),"Residuos (envases), Materiales reciclables",APP (fundación público-privada),Privado (industria financia),–,Registro unificado de ~200k empresas; tasa reciclaje envases 69% (2020). Reciclaje de plásticos post-consumo >50% en 2022. En 2021 se recuperaron ≥200 mil toneladas de envases en planes EPR.,Tasa de reciclaje de envases (%); Nº toneladas de envases reciclados por año,"Barrera_Operativa: Subdeclaración inicial de volúmenes – en plásticos hubo tasas aparentes >100%, reflejando reportes incompletos.",Barrera_Seguimiento,Habilitador_Tecnológico: Plataforma digital de ZSVR mejora transparencia y cumplimiento. Marco EPR robusto con obligaciones legales incentiva eco-diseño.,Habilitador_Legal;Habilitador_Tecnológico;Habilitador_Transparencia,"Alta – Chile (MMA) puede implementar un registro nacional de productores en línea aprovechando la Ley REP vigente, mejorando trazabilidad.",Alta,"Chile (MMA) puede implementar un registro nacional de productores en línea aprovechando la Ley REP vigente, mejorando trazabilidad.",Sí – Crear registro único REP es factible vía resolución administrativa en 0–2 años (apoyado por experiencia alemana).,Sí,Crear registro único REP es factible vía resolución administrativa en 0–2 años (apoyado por experiencia alemana).,,Ley + Plataforma (datos oficiales),"(Minambiente Colombia, para comparación)"
DEU-04,Alemania,Sí,Iniciativa “Circular Economy Initiative Deutschland” (Roadmap CE 2030),2019–2021 (hoja de ruta),Academia (acatech) c/ Min. Educación (BMBF),Cooperación público-privada (cluster innovación),No,No,Sí,Sí,No,No,No,"Manufactura, Electrónica, Química (pilotos)","Materiales, Residuos (metales, plásticos)",Triple hélice (industria-academia-gob.),Público + privado (mixto),–,"Publicó la Hoja de Ruta Economía Circular Alemania 2030 con 50+ recomendaciones. Proyectos demostrativos en baterías, plásticos y bioeconomía lanzados en paralelo. Sus insumos alimentaron la Estrategia Nacional Circular 2024.",N° recomendaciones adoptadas; iniciativas piloto lanzadas; % reducción potencial de recursos identificada,Barrera_Institucional: Falta de coordinación inicial entre sectores – se creó la iniciativa para alinear actores en ausencia de política única.,Barrera_Institucional,"Habilitador_Cooperación: Participación de 180 organizaciones (ministerios, empresas, ONGs) generó consenso amplio y compromiso multiactor con la economía circular.",Habilitador_Cooperación;Habilitador_Institucional;Habilitador_Político;Habilitador_Social,"Alta – En Chile, un consejo multiactor liderado por MMA/MinEconomía podría elaborar hoja de ruta circular con academia (ej. emulando acatech).",Alta,"En Chile, un consejo multiactor liderado por MMA/MinEconomía podría elaborar hoja de ruta circular con academia (ej. emulando acatech).",No – Elaborar una hoja de ruta nacional requiere 2+ años de diálogos técnicos antes de implementación.,No,Elaborar una hoja de ruta nacional requiere 2+ años de diálogos técnicos antes de implementación.,,Informe técnico (hoja de ruta),–
NLD-01,Países Bajos,Sí,Programa “Economía Circular en 2050” (Gobierno holandés),2016–2050 (metas 2030/50),Min. Infraestructura y Medio Amb. (IenW),Estrategia nacional de economía circular,No,Sí,No,No,No,No,No,"Construcción, Manufactura, Agro, Bienes consumo","Materiales, Residuos, Biomasa, Energía",Multinivel (gob. central + regiones),Público,Acuerdo de Materias Primas 2017,"Meta de reducir 50% el uso de materias primas vírgenes a 2030. Cinco “agendas de transición” sectoriales (plásticos, manufactura, construcción, biomasa, bienes consumo) implementadas desde 2018. En 2023, economía holandesa es ~24.5% circular (indicador de circularidad).",Consumo de materias primas (Mt); % economía circular (Circularity Gap); tasa reciclaje nacional (%),"Barrera_Estructural: Sectores clave (construcción, envases, tecnología) rezagados en circularidad – aumento de consumo material tras pandemia muestra insuficiencia de medidas actuales.",Barrera_Tecnológica,"Habilitador_Cooperación: Fuerte alianza público-privada mediante Green Deals y Pactos (180 actores firmaron el Acuerdo de Materias Primas) impulsa acciones coordinadas. Gobierno dispuesto a instrumentos más estrictos (normas, precios) para 2030.",Habilitador_Cooperación;Habilitador_Institucional,Alta – Estrategia similar es replicable; Chile puede fijar meta nacional de reducción de recursos y establecer agendas sectoriales con apoyo OECD/UE.,Alta,Estrategia similar es replicable; Chile puede fijar meta nacional de reducción de recursos y establecer agendas sectoriales con apoyo OECD/UE.,No – Requiere cambios sistémicos y compromisos de largo plazo hasta 2030/2050.,No,Requiere cambios sistémicos y compromisos de largo plazo hasta 2030/2050.,,Estrategia nacional (programa),"(PBL 2024, obstáculos)"
NLD-02,Países Bajos,Sí,Acuerdos “Green Deals” (paquetes de acuerdos voluntarios multisector),2011–2020 (varias rondas),Ministerio de Economía y Clima (EZK),Cooperación / Iniciativa público-privada,No,No,Sí,No,No,No,No,"Varios (Construcción, Agro, Energía, etc.)","Depende del acuerdo (ej. Energía, Materiales)",APP (acuerdos voluntarios Estado-empresas),Mixto (inversión privada c/ incentivos),–,"Más de 200 Green Deals firmados, abordando residuos de construcción, logística inversa, simbiosis industrial, etc. Caso destacado: Green Deal Circulaire Bouw (Construcción Circular) redujo residuos de demolición ~30% en proyectos piloto. Documentación transparente de resultados en informes PBL.",N° acuerdos firmados; toneladas de residuos reducidos por acuerdo; % empresas participantes,"Barrera_Voluntario: Implementación dependió de voluntad empresarial – algunos acuerdos carecieron de cumplimiento vinculante, limitando impacto agregado.",Barrera_Seguimiento,Habilitador_Social: Cultura de confianza y diálogo público-privado – los Green Deals facilitaron innovación y aprendizaje colaborativo en sectores donde la regulación formal tardaría.,Habilitador_Social;Habilitador_Tecnológico,"Media – Posible en Chile vía acuerdos de producción limpia sectoriales (ej. CO2, residuos), pero requiere seguimiento estricto para efectividad.",Media,"Posible en Chile vía acuerdos de producción limpia sectoriales (ej. CO2, residuos), pero requiere seguimiento estricto para efectividad.",Sí – Se puede lanzar convenios voluntarios en <2 años (ej. “Acuerdos Producción Circular”) aprovechando la experiencia chilena en Acuerdos de Producción Limpia (APL).,Sí,Se puede lanzar convenios voluntarios en <2 años (ej. “Acuerdos Producción Circular”) aprovechando la experiencia chilena en Acuerdos de Producción Limpia (APL).,(PBL recomendaciones),Reporte evaluativo (Think tank),–
NLD-03,Países Bajos,Sí,Contratación Pública Circular (Programa PIANOo/MVI),2013–presente,Rijkswaterstaat + PIANOo (agencia),Compra pública (política y guías técnicas),No,No,No,No,Sí,Sí,No,"Construcción, Bienes públicos (muebles, etc.)","Materiales, Energía (huella en infraestructura)",Triple hélice (gobierno-proveedores-acad.),Público,–,El gobierno holandés incorporó criterios circulares en €5.000 millones de compras (2019). Casos: licitaciones de carreteras reutilizando asfalto y puentes modulares redujeron un 30% el uso de materia prima. Holanda lidera índice de compras verdes en la UE.,% presupuesto público con criterios circulares; reducción estimada de CO₂ o materiales por compra,Barrera_Cultural: Reticencia inicial de compradores a usar criterios nuevos por desconocimiento del mercado circular.,Barrera_Cultural;Barrera_Mercado,Habilitador_Financiero: Apoyo del gobierno central con fondos y capacitaciones a municipios para implementar compras circulares; guía nacional unificada (PIANOo) facilita adopción masiva.,Habilitador_Financiero;Habilitador_Multinivel,Alta – Chile (ChileCompra) puede integrar criterios de circularidad en bases de licitación apoyado por experiencias piloto (ej. reciclaje en obras públicas).,Alta,Chile (ChileCompra) puede integrar criterios de circularidad en bases de licitación apoyado por experiencias piloto (ej. reciclaje en obras públicas).,Sí – Ajustes administrativos y capacitación en compras públicas verdes pueden implementarse en corto plazo (1–2 años).,Sí,Ajustes administrativos y capacitación en compras públicas verdes pueden implementarse en corto plazo (1–2 años).,,Política pública (informe gobierno),–
NLD-04,Países Bajos,Sí,Plataforma “National Circular Economy Dashboard” (monitoreo indicadores),2018–presente,PBL (Agencia Evaluación Ambiental),Datos/Traza (sistema monitoreo CE),No,No,No,No,No,No,Sí,Todos (economía nacional),"Materiales, Residuos, Emisiones",Colaboración (gob. + centros investigación),Público,–,Publica anualmente el Integral Circular Economy Report: la economía neerlandesa se mantuvo ~25% circular en 2023; identificó que solo 9% de plásticos se reciclan en circuito cerrado. Indicadores de brecha circular ayudan a ajustar políticas (ej. se evidenció que metas 2030 no se alcanzarán sin medidas adicionales).,Circularity Gap (%); tasa reciclaje por flujo; huella material per cápita,Barrera_Técnica: Desafíos en la recolección de datos de flujos complejos (ej. materiales importados en productos); algunas métricas requieren metodologías nuevas.,Barrera_Datos,Habilitador_Transparencia: Disponibilidad de datos abiertos y rigurosos ha generado presión pública y política para acelerar acciones (el monitoreo evidenció “brecha de circularidad”).,Habilitador_Político;Habilitador_Tecnológico;Habilitador_Transparencia,"Alta – Chile puede desarrollar un tablero de indicadores circular (INE/MMA) apoyado por CEPAL; datos existentes (residuos, materiales) pueden integrarse.",Alta,"Chile puede desarrollar un tablero de indicadores circular (INE/MMA) apoyado por CEPAL; datos existentes (residuos, materiales) pueden integrarse.",No – Requiere robustecer sistemas de información ambiental y coordinación interagencial antes de operativizar un dashboard nacional.,No,Requiere robustecer sistemas de información ambiental y coordinación interagencial antes de operativizar un dashboard nacional.,,"Informe técnico (PBL, monitoreo)",–
DNK-01,Dinamarca,Sí,Estrategia Nacional de Economía Circular (Dinamarca sin Desperdicio),2018–2022,Ministerio de Medio Ambiente,Estrategia nacional (plan de acción CE),No,No,No,No,No,No,No,"Manufactura, Construcción, Residuos","Residuos, Materiales, Agua",Cooperación (consejo asesor multiactor),Público (fondos DKK 80 mill.),–,Implementó 15 iniciativas: desde ecodiseño en manufactura hasta mejora de reciclaje municipal. Se lograron 800 nuevas empleos verdes y se redujeron ~30% los residuos plásticos incinerados en 2022. Creación de centros de reparación en 98 municipios.,N° iniciativas completadas; % reducción residuos incinerados; empleos verdes creados,Barrera_Regulatoria: Competencias municipales fragmentaron la implementación (cada comuna avanzó a ritmo distinto).,Barrera_Institucional;Barrera_Regulatoria;Barrera_Territorial,Habilitador_Cooperación: La Advisory Board público-privada formuló recomendaciones base; alineamiento con industria (ej. casos de simbiosis industrial apoyados por gobierno) dio legitimidad a la estrategia.,Habilitador_Cooperación,Alta – Estrategia integral con financiamiento acotado y proyectos piloto es replicable vía Plan Nacional de EC (Chile) articulado por MMA/Corfo.,Alta,Estrategia integral con financiamiento acotado y proyectos piloto es replicable vía Plan Nacional de EC (Chile) articulado por MMA/Corfo.,"No – Aunque muchas acciones administrativas son posibles, requiere presupuesto y coordinación nacional-subnacional.",No,"Aunque muchas acciones administrativas son posibles, requiere presupuesto y coordinación nacional-subnacional.",(perfil país EIONET),Estrategia nacional,–
DNK-02,Dinamarca,Sí,Simbiosis Industrial de Kalundborg,1972–presente (continuo),Municipio de Kalundborg / empresas,Cooperación empresarial (clúster eco-industrial),No,No,Sí,No,No,No,No,"Energía (termoeléctrica), Química, Agro","Subproductos, Energía, Agua",Simbiosis industrial (red intercambio),Privado (inversión empresas),–,"Pionero mundial: ~20 intercambios de materiales/energía entre 11 entidades. Ahorros anuales: 24 mil t de petróleo, 30 mil t CO₂. Reutiliza 98% del yeso de chimenea en fábrica de placas; recircula agua enfriamiento reduciendo 25% extracción hídrica local.",Toneladas insumo fósil ahorradas; t CO₂ evitadas/año; % agua reutilizada,"Barrera_Técnica: Coordinación de flujos dependió de estabilidad de empresas; si una planta cierra, rompe cadena (vulnerabilidad estructural).",Barrera_Institucional;Barrera_Tecnológica,Habilitador_Económico: Beneficios mutuos claros (reducción de costos de materias y tratamiento de residuos) impulsaron participación voluntaria contínua por 50 años. Apoyo municipal facilitó infraestructura compartida.,Habilitador_Multinivel;Habilitador_Social,Alta – Existen oportunidades de simbiosis Chile (ej. parques industriales en Antofagasta); requiere rol articulador de la agencia pública local (similar a municipio Kalundborg).,Alta,Existen oportunidades de simbiosis Chile (ej. parques industriales en Antofagasta); requiere rol articulador de la agencia pública local (similar a municipio Kalundborg).,Sí – Implementar un piloto de simbiosis en 1-2 polígonos industriales es factible en 2 años con bajo costo y alta visibilidad.,Sí,Implementar un piloto de simbiosis en 1-2 polígonos industriales es factible en 2 años con bajo costo y alta visibilidad.,(informe CORALIS EU),Caso emblemático (estudio),–
DNK-03,Dinamarca,Sí,Fondo Danés de Economía Circular e Innovación,2020–presente,Ministerio de Industria (EIFO),Financiero (fondo público-privado de inversión),No,Sí,No,No,No,No,No,Startups y Pymes en economía circular,"Materiales, Energía (proyectos innovadores)",APP (fondo coinvertido con sector priv.),Mixto (capital público + privado),–,"Asignó ~€20 millones a 50 proyectos (2020-2024), incl. tecnología de reciclaje químico y nuevos materiales de construcción. Por cada €1 público se movilizaron €3 privados. Se espera reducción de 70 mil t CO₂ eq al 2030 por proyectos financiados.",N° proyectos financiados; € movilizados; t CO₂ eq reducción estimada,Barrera_Financiera: Dificultad inicial de atraer capital privado en ciertos sectores percibidos de alto riesgo (ej. innovación en biomateriales).,Barrera_Financiera,"Habilitador_Innovación: Apalancamiento con fondos privados amplificó el impacto; el gobierno danés actuó como venture capital verde, reduciendo riesgo para innovadores.",Habilitador_Cooperación;Habilitador_Financiero;Habilitador_Tecnológico,"Media – Chile podría crear un fondo de coinversión circular con CORFO, pero dependerá de atraer inversionistas privados y definir nichos (no inmediato en escala).",Media,"Chile podría crear un fondo de coinversión circular con CORFO, pero dependerá de atraer inversionistas privados y definir nichos (no inmediato en escala).",No – Requiere estructuración financiera compleja y garantizada por el Estado; >2 años para operar plenamente.,No,Requiere estructuración financiera compleja y garantizada por el Estado; >2 años para operar plenamente.,(perfil país EIONET),Programa de financiamiento,–
ESP-01,España,Sí,Estrategia España Circular 2030,2020–2030,Ministerio para la Transición Ecol. (MITECO),Estrategia nacional (marco estratégico CE),No,No,No,No,No,No,No,"Construcción, Agro, Industria, Consumo","Materiales, Residuos, Agua, Energía",Cooperación (todos niveles gob. y empresas),Público,–,Fija 8 objetivos al 2030 (ej. reducir 15% generación de residuos respecto 2010; disminuir desperdicio alimentario 50%). A 2022: +100 iniciativas autonómicas alineadas; se logró reducir residuos municipales un 2% vs 2010. Creado Observatorio Español de Economía Circular para monitorear avances.,Kg residuos per cápita; % reducción desperdicio alimentos; tasa reutilización agua,Barrera_Institucional: Coordinación multinivel compleja – diferencias en capacidad entre Comunidades Autónomas generaron brechas en implementación territorial.,Barrera_Institucional;Barrera_Territorial,Habilitador_Político: Marco legal reciente (Ley 7/2022 de residuos) apoya la Estrategia con obligaciones concretas; fondos UE NextGen (€500 mill. en economía circular) impulsan proyectos regionales.,Habilitador_Financiero;Habilitador_Legal;Habilitador_Multinivel;Habilitador_Político,Alta – Chile puede adoptar metas nacionales similares (alineadas a OCDE) y apoyar gobiernos locales; ya cuenta con bases (Hoja de Ruta Economía Circular 2020).,Alta,Chile puede adoptar metas nacionales similares (alineadas a OCDE) y apoyar gobiernos locales; ya cuenta con bases (Hoja de Ruta Economía Circular 2020).,"No – Requiere alineación normativa y compromisos de mediano plazo coordinando con múltiples actores (regiones, sector privado).",No,"Requiere alineación normativa y compromisos de mediano plazo coordinando con múltiples actores (regiones, sector privado).",,Estrategia nacional,(anuncio estrategia CR)
ESP-02,España,Sí,Ley 7/2022 de Residuos y Suelos Contaminados para una Economía Circular,2022–vigente,MITECO / Gobierno de España,Regulatorio (ley marco residuos CE),Sí,No,No,No,No,No,No,"Envases, Plásticos de un solo uso, Varios","Residuos, Materiales, Energía (valorización)",(No aplica – regulación nacional),(No aplica),–,"Prohíbe plásticos de un solo uso específicos e introduce nuevos impuestos ecológicos (ej. €0,45/kg plástico no reutilizable). Obligó a instalar recogida separada de biorresiduos en todos los municipios a 2024. Espera reciclar 55% residuos municipales en 2025 (42% en 2020).",Tasa reciclaje (%); toneladas plástico de un solo uso evitadas; recaudación impuesto plástico (€),Barrera_Sectorial: Oposición inicial de industrias de plástico y autonomías por costos de adaptación; algunas demoras en despliegue de infraestrucura de biorresiduos.,Barrera_Económica;Barrera_Social,"Habilitador_Legal: Transpone objetivos UE obligatorios, dando certeza jurídica y homogenizando estándares en todo el país; incluye instrumentos económicos innovadores (impuestos) que generan incentivos reales.",Habilitador_Legal;Habilitador_Tecnológico,"Alta – Chile puede inspirarse en instrumentos económicos (impuesto a plásticos) y metas de reciclaje, ajustando normativa vigente (REP) sin requerir nueva ley marco.",Alta,"Chile puede inspirarse en instrumentos económicos (impuesto a plásticos) y metas de reciclaje, ajustando normativa vigente (REP) sin requerir nueva ley marco.","Sí – Varios elementos (restricciones a plásticos, incentivos fiscales) pueden implementarse vía reglamentos o modificaciones legales menores en corto plazo.",Sí,"Varios elementos (restricciones a plásticos, incentivos fiscales) pueden implementarse vía reglamentos o modificaciones legales menores en corto plazo.",,Ley nacional (residuos),–
