Case_ID,País,Pais_core8,Nombre oficial de la política/programa/instrumento,Año inicio–vigencia,Entidad líder (responsable),Tipo de instrumento,Inst_Regulatorio,Inst_EconFin,Inst_Cooperacion,Inst_Innovacion,Inst_CompraPublica,Inst_EstandarGuia,Inst_DatosTrazabilidad,Sectores involucrados,Flujos foco,Mecanismo de cooperación,Financiamiento,Programa asociado,Resultados reportados,KPI asociados,Barreras identificadas,Barreras_Tags,Habilitadores identificados,Habilitadores_Tags,Replicabilidad para Chile,Replicabilidad_nivel,Replicabilidad_justificacion_1linea,Quick win potencial,QuickWin_si_no,QuickWin_justificacion_1linea,Fuente primaria,Tipo de fuente,Fuente secundaria
ESP-03,España,Sí,PERTE Economía Circular (Proyecto Estratégico NextGen),2022–2026,MITECO + Ministerio Industria,Económico/Financiero (subvenciones competitivas),No,Sí,No,No,No,No,No,"Industria (textil, plástico, bienes de equipo)","Materiales, Residuos, Energía (procesos)",APP (consorcios empresas-gobierno),Público (fondos UE NextGen),–,"Dotado con €492 millones (2022-24), financia 186 proyectos empresariales de economía circular. Ej.: Proyecto en sector textil recuperando fibras (prevé aumentar 10% reciclaje textil para 2025). Al 2023 se habían comprometido €300 mill. en 112 proyectos, movilizando inversión total de €1.200 mill. Se estima creación de 1.700 empleos verdes.",€ ejecutados; N° proyectos financiados; inversión privada movilizada; empleos generados,"Barrera_Administrativa: Alta demanda – solicitudes superaron fondos 3 a 1, dejando buenos proyectos sin apoyo; trámites burocráticos ralentizaron adjudicación inicial.",Barrera_Administrativa;Barrera_Mercado,"Habilitador_Financiero: Disponibilidad de fondos UE a gran escala permitió abordar brechas de financiamiento histórico; concurrencia competitiva con criterios claros orientó recursos a sectores de mayor impacto (plásticos, textiles, RAEEs).",Habilitador_Cooperación;Habilitador_Financiero,"Media – Chile podría orientar fondos de desarrollo (Corfo/BID) a un PERTE local, pero a menor escala; exige coordinación interministerial y con privados.",Media,"Chile podría orientar fondos de desarrollo (Corfo/BID) a un PERTE local, pero a menor escala; exige coordinación interministerial y con privados.","No – Necesita asignación presupuestaria significativa y diseño de convocatorias, con plazos >2 años para ver resultados.",No,"Necesita asignación presupuestaria significativa y diseño de convocatorias, con plazos >2 años para ver resultados.",(residuosprofesional),Programa financiado (NextGen),–
ESP-04,España,Sí,Pacto por la Economía Circular (adhesión voluntaria empresas y ciudades),2017–2020,MITECO / MAPAMA,Cooperación (compromiso voluntario multisector),No,No,Sí,No,No,No,No,"Varios (200+ entidades: empresas, municipios)","Materiales, Residuos, Agua (según entidad)","Triple hélice (gob-central, local, priv.)",Mixto (sin fondos directos),–,"230 entidades firmantes (incl. 70 grandes empresas y 8 CCAA). Compartieron Circular best practices. Resultados cualitativos: mayor sensibilización empresarial; catalizó planes propios (ej. Estrategia Circular Madrid 2018). Sin embargo, impacto medible limitado por falta de metas vinculantes.",N° entidades adheridas; compromisos implementados (auto-reportados),"Barrera_Seguimiento: Al ser voluntario, faltó monitoreo riguroso de cumplimiento – difícil cuantificar resultados reales.",Barrera_Seguimiento,"Habilitador_Comunicación: Elevó perfil político del tema en 2017, creando masa crítica para posteriormente aprobar la Estrategia España Circular 2030. Facilitó intercambio de experiencias pioneras entre firmantes.",Habilitador_Político,"Media – Puede replicarse un pacto voluntario en Chile para reunir actores; útil para sensibilización inicial, pero debe complementarse con políticas obligatorias para impacto real.",Media,"Puede replicarse un pacto voluntario en Chile para reunir actores; útil para sensibilización inicial, pero debe complementarse con políticas obligatorias para impacto real.","Sí – Iniciativa de adhesión pública-privada se puede lanzar rápidamente vía MMA, creando compromiso visible sin requerir cambios normativos.",Sí,"Iniciativa de adhesión pública-privada se puede lanzar rápidamente vía MMA, creando compromiso visible sin requerir cambios normativos.",(MITECO),Declaración voluntaria,–
COL-01,Colombia,Sí,Estrategia Nacional de Economía Circular (ENEC),2019–2030,Min. Ambiente + Min. Desarrollo,Estrategia nacional (política pública CE),No,No,No,No,No,No,No,"Construcción, Agroindustria, Manufactura","Materiales, Residuos, Agua, Energía",Cooperación (pacto público-privado),Público (Gob. Nal.),CONPES 3934 (Política CE),"Prioriza 6 flujos (industriales, envases, biomasa, energía, agua, construcción) y 5 vehículos (EPR, nuevos negocios, parques eco, ciudades sostenibles, cadenas de valor). A 2022: 19 pactos regionales firmados y mesas sectoriales en textiles, biomasa, metales creadas. Tasa de reciclaje nacional ~12% (2022), meta 2030: 17.9%.",Tasa nacional de reciclaje %; N° pactos región/sector; % PIB circular estimado,Barrera_Operativa: Brecha de capacidades locales – implementación desigual en territorios por falta de recursos técnicos en algunos departamentos.,Barrera_Territorial,"Habilitador_Institucional: Enfoque inclusivo y participativo – construcción colectiva con academia, gremios y 19 departamentos generó apropiación. Integración con Plan Nal. Desarrollo asegura respaldo político.",Habilitador_Institucional;Habilitador_Multinivel;Habilitador_Político;Habilitador_Social,Alta – Colombia y Chile comparten contextos; Chile puede aprovechar estructura REP y experiencia OCDE para adoptar similares flujos prioritarios y mesas de trabajo multisectoriales.,Alta,Colombia y Chile comparten contextos; Chile puede aprovechar estructura REP y experiencia OCDE para adoptar similares flujos prioritarios y mesas de trabajo multisectoriales.,No – Implica coordinar múltiples sectores y regiones; requiere esfuerzos sostenidos y no se concreta en 2 años solo con voluntad administrativa.,No,Implica coordinar múltiples sectores y regiones; requiere esfuerzos sostenidos y no se concreta en 2 años solo con voluntad administrativa.,,Estrategia nacional (ENEC),"(Minambiente, resultados)"
COL-02,Colombia,Sí,Esquema REP para Envases & Empaques (Res. 1407/2018 y 1342/2020),2018–implementación 2021,Min. Ambiente (con ANDI),Regulatorio (Responsabilidad Extendida Prod.),Sí,No,No,No,No,No,No,"Envases plásticos, vidrio, metal, papel/cartón",Residuos (post-consumo envases),APP (sistemas colectivos industria),Privado (productores financian),–,"Todos los productores grandes adoptaron Planes de Gestión de Envases en 2021. En el primer año se recuperaron ≥200.000 toneladas de envases y empaques. La tasa nacional de reciclaje pasó de 8% (2015) a ~12% (2022), en parte gracias a REP.",Toneladas de envases recicladas; % reciclaje envases por material,"Barrera_Social: Difícil formalización de recicladores informales – integrar 50k recicladores al sistema ha sido lento, afectando la eficiencia de recolección selectiva.",Barrera_Datos;Barrera_Social,Habilitador_Legal: Marco jurídico robusto (resoluciones detalladas) y metas crecientes obligatorias dieron certeza a la industria; acompañamiento técnico de MinAmbiente y ANDI facilitó cumplimiento inicial.,Habilitador_Legal,Alta – Chile ya cuenta con REP para envases (2016) pero puede aprender de Colombia en inclusión de recicladores y metas graduales; la experiencia es plenamente relevante.,Alta,Chile ya cuenta con REP para envases (2016) pero puede aprender de Colombia en inclusión de recicladores y metas graduales; la experiencia es plenamente relevante.,"Sí – Ajustes en metas de recolección o esquemas de seguimiento se pueden hacer en corto plazo dentro del marco REP existente, apoyándose en lecciones colombianas.",Sí,"Ajustes en metas de recolección o esquemas de seguimiento se pueden hacer en corto plazo dentro del marco REP existente, apoyándose en lecciones colombianas.",,Regulación + reporte oficial,–
COL-03,Colombia,Sí,"Impuesto Nacional a Bolsas Plásticas (Ley 1819/2016, art. 207)",2017–vigente (ajuste 2020),Min. Hacienda / DIAN,Económico (instrumento fiscal verde),No,Sí,No,No,No,No,No,Comercio minorista (retail),"Materiales (plástico), Residuos",(No aplica) (política fiscal nacional),Público (recaudación fiscal),–,"Grava cada bolsa plástica entregada ($50 COP inicio, ajustable IPC). Resultado: consumo de bolsas plásticas cayó ~70% en grandes cadenas entre 2016-2020. Recaudación 2019: ~COP $10 mil millones, reinvertidos en programas ambientales locales.",N° bolsas plásticas consumidas; % reducción; ingresos fiscales (COP),Barrera_Política: Oposición inicial de fabricantes locales de bolsas; se mitigó gradualmente con transición y excepciones temporales para PYMEs.,Barrera_Social,"Habilitador_Ambiental: Medida simple y visible generó cambio cultural en consumidores rápidamente – “ya no se habla de basura, sino de recursos” se volvió mensaje nacional.",Habilitador_Social,"Alta – Chile podría implementar impuesto/gravamen a bolsas o plásticos de un solo uso (ya hay prohibiciones, pero un tributo podría reforzar comportamiento donde aún se usan, ej. bolsas reutilizables).",Alta,"Chile podría implementar impuesto/gravamen a bolsas o plásticos de un solo uso (ya hay prohibiciones, pero un tributo podría reforzar comportamiento donde aún se usan, ej. bolsas reutilizables).",Sí – Instrumentos fiscales verdes son viables vía ley de presupuesto o reforma tributaria menor; rápida implementación y efectos comprobados en corto plazo.,Sí,Instrumentos fiscales verdes son viables vía ley de presupuesto o reforma tributaria menor; rápida implementación y efectos comprobados en corto plazo.,,Ley fiscal (resultado reporte),(Ministro ambiente cita)
COL-04,Colombia,Sí,Programa Bioprospección & Valorización de Residuos Mineros (Piloto),2021–2023 (piloto),Min. Minas + Corp. Alta Ley (BID),Innovación (I+D piloto economía circular minería),No,Sí,No,Sí,No,No,No,"Minería (oro, cobre) en Antioquia","Relaves (colas minería), Agua",Triple hélice (gobierno-empresa-univers.),Mixto (BID + gobierno + mineras),–,"Piloto en Antioquia: recuperó 120 g de oro y 1,2 t de cobre de relaves, demostrando viabilidad técnica de extracción secundaria. Tratamiento de aguas ácidas de mina redujo 85% metales pesados en efluentes. Resultados alimentan política de minería circular en diseño (2025).",Toneladas de metal recuperado; % reducción contaminantes en agua; N° tecnologías validadas,Barrera_Tecnológica: Escalabilidad limitada – tecnologías de laboratorio enfrentan retos para aplicarse económicamente a gran escala sin subsidio.,Barrera_Financiera;Barrera_Tecnológica,"Habilitador_Cooperación: Apoyo técnico-financiero internacional (BID) más conocimiento local (universidades) permitió avanzar rápido; empresas mineras aportaron muestras y sitios de prueba, fomentando confianza en resultados.",Habilitador_Cooperación;Habilitador_Financiero,"Media – Chile tiene contextos similares (relaves); replicable vía pilotos con Codelco/Enami y apoyo internacional, aunque falta marco específico de “minería circular” en la institucionalidad.",Media,"Chile tiene contextos similares (relaves); replicable vía pilotos con Codelco/Enami y apoyo internacional, aunque falta marco específico de “minería circular” en la institucionalidad.",Sí – Proyectos demostrativos en minería (reprocesamiento de relaves en pequeña escala) podrían lanzarse vía Corfo/Alta Ley en 1-2 años y mostrar beneficios tangibles rápidamente.,Sí,Proyectos demostrativos en minería (reprocesamiento de relaves en pequeña escala) podrían lanzarse vía Corfo/Alta Ley en 1-2 años y mostrar beneficios tangibles rápidamente.,(estudio CEPAL),Piloto (informe técnico),–
MEX-01,México,Sí,Nueva Ley General de Economía Circular (pendiente promulgación),2025 (aprobada Congreso),SEMARNAT / Gobierno Federal,Regulatorio (ley marco nacional CE),Sí,No,No,No,No,No,No,"Todos (residuos sólidos urbanos, industrias)","Residuos, Materiales, Agua, Energía",Cooperación (Consejo Nacional EC),Público,Creará Programa Nal. EC,"Aprobada por el Senado el 11/12/2025. Establece: reducción de residuos (hoy 127 mil ton/día), creación del Programa Nacional de EC, Distintivo Nacional para productos circulares, responsabilidad extendida del productor a nivel federal. Se busca elevar la tasa de reciclaje nacional (actual 9-10%) hacia niveles OCDE (~30-50%).",Tasa nacional reciclaje (%); ton residuos diarios; N° empresas con distintivo EC,"Barrera_Institucional: Infraestructura deficiente – gran parte del país carece de sistemas de reciclaje y agua adecuados, lo que limita impacto inmediato (redes hidráulicas y rellenos sanitarios inoperantes señalados).",Barrera_Institucional;Barrera_Tecnológica,"Habilitador_Regulatorio: Marco legal integral dota al país de instrumentos coordinados (Programa Nacional, EPR unificado, reconocimiento recicladores); amplio consenso político – apoyo multipartidario en el Senado asegura continuidad.",Habilitador_Institucional;Habilitador_Legal;Habilitador_Político;Habilitador_Social,"Alta – Proveer un marco legal claro es clave también en Chile; Chile tiene ley REP pero carece de estrategia unificada EC por ley, iniciativa mexicana sirve de referencia para consolidación normativa.",Alta,"Proveer un marco legal claro es clave también en Chile; Chile tiene ley REP pero carece de estrategia unificada EC por ley, iniciativa mexicana sirve de referencia para consolidación normativa.",No – Implica proceso legislativo; en Chile tomaría >2 años aprobar ley similar. Mejor avanzar con reglamentos actuales antes de una ley marco.,No,Implica proceso legislativo; en Chile tomaría >2 años aprobar ley similar. Mejor avanzar con reglamentos actuales antes de una ley marco.,,Ley general (proyecto aprobado),"(debate Senado, detalles)"
MEX-02,México,Sí,Estrategia Nacional de Economía Circular (borrador SEMARNAT),2020–2024 (en desarrollo),SEMARNAT (pendiente adopción),Estrategia (propuesta de política CE),No,No,No,No,No,No,No,"Industria manufacturera, Residuos urbanos","Residuos, Materiales, Agua",Cooperación (consultas multi-actor),Público,–,"Documento en elaboración (con apoyo GIZ y ONU). Propone metas al 2030: elevar reciclaje de residuos al 20%, reducir generación per cápita 10%, impulsar mercados de secundarios. A 2023 realizó 5 talleres regionales y piloto de “municipio circular” en Jalisco. No oficializada aún, pero insumos incorporados en la nueva Ley General.",Tasa reciclaje prevista; kg residuos per cápita; N° municipios piloto,"Barrera_Política: Cambios de administración retrasaron aprobación – prioridad varió sexenalmente, dejando la estrategia sin adopción formal hasta ahora.",Barrera_Administrativa,"Habilitador_Internacional: Cooperación técnica (GIZ, UE) brindó experiencias comparadas y financiamiento para formulación; actores locales involucrados desde el diseño, generando capacidades desde antes de la implementación.",Habilitador_Cooperación;Habilitador_Financiero,Alta – Chile también desarrolló hoja de ruta CE (2021) con apoyo internacional; la experiencia mexicana refuerza importancia de formalizarla con cada gobierno para continuidad.,Alta,Chile también desarrolló hoja de ruta CE (2021) con apoyo internacional; la experiencia mexicana refuerza importancia de formalizarla con cada gobierno para continuidad.,"No – Si bien tener estrategia es útil, no es “quick win” por sí misma; su valor depende de implementación sostenida y alineamiento interministerial a mediano plazo.",No,"Si bien tener estrategia es útil, no es “quick win” por sí misma; su valor depende de implementación sostenida y alineamiento interministerial a mediano plazo.",(UNA Comunicados),Estrategia (borrador técnico),–
MEX-03,México,Sí,Ley de Economía Circular de la Ciudad de México,2023–vigente,Gobierno Ciudad de México (SEDEMA),Regulatorio (nivel subnacional),Sí,No,No,No,No,No,No,"Envases, Residuos Sólidos Urbanos (CDMX)","Residuos, Materiales (ciudad)",(No aplica – regulación local),Público (CDMX),–,"Primera ley subnacional de EC en AL. Establece metas: cero basura en rellenos al 2030, reciclaje 50%, economía circular inclusiva. Crea el Consejo Consultivo de EC en CDMX. En primer año (2023-24): inversión MXN $300 mill. en infraestructura de reciclaje y compostaje, reducción de ~8% residuos enviados a relleno (vs 2021).",% residuos CDMX reciclados; ton desviadas de relleno; presupuesto ejecutado,"Barrera_Financiera: Necesidad de recursos para infraestructura – ciudades satélite que usan rellenos comunes no cuentan con igual inversión, limitando alcance metropolitano.",Barrera_Financiera;Barrera_Tecnológica,Habilitador_Local: Autonomía y liderazgo de CDMX impulsan innovaciones más rápido que a nivel federal; la ley sirvió de piloto normativo cuyos aprendizajes informaron la discusión nacional.,Habilitador_Legal;Habilitador_Multinivel;Habilitador_Tecnológico,"Media – Ciudades grandes en Chile (Santiago) podrían impulsar ordenanzas avanzadas de EC; sin embargo, la coordinación con municipios periféricos y financiamiento puede ser desafiante.",Media,"Ciudades grandes en Chile (Santiago) podrían impulsar ordenanzas avanzadas de EC; sin embargo, la coordinación con municipios periféricos y financiamiento puede ser desafiante.","Sí – A nivel municipal/regional se pueden dictar ordenanzas y planes circulares en 1-2 años, obteniendo resultados tangibles en gestión de residuos locales rápidamente.",Sí,"A nivel municipal/regional se pueden dictar ordenanzas y planes circulares en 1-2 años, obteniendo resultados tangibles en gestión de residuos locales rápidamente.",(Ley CDMX extracto),Ley subnacional (CDMX),–
URY-01,Uruguay,Sí,Ley 19.829 “Gestión Integral de Residuos” y Economía Circular,2019–vigente,Ministerio Ambiente (MA) / Parlamento,Regulatorio (ley marco residuos),Sí,No,No,No,No,No,No,Residuos sólidos urbanos e industriales,"Residuos, Materiales, Energía (valorización)",(No aplica – legislación),Público (fondos estatales),Plan Nal. Gestión Residuos,"Primera ley de residuos de Uruguay. Incluye Responsabilidad Extendida del Productor (desde 2021) en envases, neumáticos, electrónicos. Logros: tasa de reciclaje nacional pasó de 4% a 5.7% (2018-2022); eliminación gradual de vertederos a cielo abierto en 8 departamentos. Creado el Plan Nacional “Uruguay +Circular” 2021-2025 que operacionaliza la ley.",% residuos reciclados; N° vertederos clausurados; N° flujos con REP implementado,Barrera_Social: Baja separación en origen por ciudadanía – desafíos culturales ralentizan alcance de metas de reciclaje.,Barrera_Cultural;Barrera_Social,"Habilitador_Legal: Marco legal integrador generó certidumbre y atrajo cooperación internacional (UE, BID) para apoyar implementación; la ley exige Plan Nacional con indicadores, asegurando continuidad gubernamental.",Habilitador_Cooperación;Habilitador_Financiero;Habilitador_Legal,Alta – Uruguay demuestra que una ley de residuos puede incluir EC explícitamente; Chile podría reforzar su normativa con más obligaciones de valorización y planes nacionales.,Alta,Uruguay demuestra que una ley de residuos puede incluir EC explícitamente; Chile podría reforzar su normativa con más obligaciones de valorización y planes nacionales.,No – Cambios legales amplios requieren trámite legislativo; en Chile es más rápido implementar reglamentos bajo ley actual y pilotear mejoras antes de una nueva ley.,No,Cambios legales amplios requieren trámite legislativo; en Chile es más rápido implementar reglamentos bajo ley actual y pilotear mejoras antes de una nueva ley.,,Ley nacional (residuos),(Switch/UE informe)
URY-02,Uruguay,Sí,Programa “Uruguay + Circular” (ANDE + Proyecto Biovalor),2018–2022,Agencia Nal. Desarrollo (ANDE),Cooperación / Innovación (proyecto GEF),No,No,Sí,Sí,No,No,No,"Agroindustria (ganadería, lácteos), Energía","Biomasa, Residuos orgánicos, Energía",APP (Gobierno-ONUDI-empresas),Internacional (GEF/UNIDO),–,"Proyecto Biovalor: Transformación de residuos agro en energía y abonos. Resultados: 100.000 t/año de residuos orgánicos valorizados (compost, biogás); reducción de 2.150 tCO₂e/año. Se implementaron 4 plantas piloto de biogás en tambos y feedlots. Fortaleció 30 emprendimientos locales en economía circular.",Toneladas residuos orgánicos valorizados; tCO₂e evitadas; N° plantas piloto operando,"Barrera_Mercado: Fluctuación de precios de energía dificultó viabilidad comercial de biogás sin subsidios, limitando escalamiento tras pilotos.",Barrera_Económica;Barrera_Financiera;Barrera_Mercado,"Habilitador_Técnico: Sinergia interinstitucional (Ministerios de Industria, Ambiente y Ganadería) con apoyo de cooperación internacional aportó know-how y financió tecnología; las capacitaciones del programa crearon capital humano local especializado.",Habilitador_Cooperación;Habilitador_Financiero;Habilitador_Institucional;Habilitador_Tecnológico,"Alta – Chile (Agencia Sostenibilidad/Corfo) podría replicar un programa de valorización de residuos agroindustriales con GEF/GIZ, dada similitud de sectores (lechería, forestal).",Alta,"Chile (Agencia Sostenibilidad/Corfo) podría replicar un programa de valorización de residuos agroindustriales con GEF/GIZ, dada similitud de sectores (lechería, forestal).","Sí – Proyectos demostrativos de bioenergía y compostaje a escala local pueden lanzarse rápidamente con cooperación externa, mostrando beneficios y creando casos de éxito en <2 años.",Sí,"Proyectos demostrativos de bioenergía y compostaje a escala local pueden lanzarse rápidamente con cooperación externa, mostrando beneficios y creando casos de éxito en <2 años.",,Informe final programa (MIEM),"(Switch UE, contexto)"
URY-03,Uruguay,Sí,Premio Uruguay Circular (sensibilización y reconocimiento),2019–presente (anual),Ministerio Industria + ONUDI,Cooperación (campaña y concurso nacional),No,No,Sí,No,No,No,No,"Todos (empresas, ONGs, gobiernos locales)","Materiales, Residuos (casos variados)",Triple hélice (jurado público-priv-ONG),Mixto (público + cooperación),–,"Desde 2019, 5 ediciones. Reconoce buenas prácticas: en 2023 se postularon 75 empresas con iniciativas circulares (record). Ha visibilizado proyectos exitosos (p.ej. cooperativa reciclando 500 ton residuos electrónicos/año) y facilitado su replicabilidad. El premio creó comunidad de práctica y difunde resultados en foros internacionales.",N° postulaciones por año; ton residuos gestionados por proyectos ganadores,"Barrera_Impacto: Difícil medir impacto agregado nacional – es principalmente difusión, no asegura escalamiento de todas las iniciativas premiadas.",,"Habilitador_Cultural: Ha elevado la conciencia y motivación en el sector privado y emprendedor; el reconocimiento público incentiva a más actores a sumarse a la economía circular, alineando esfuerzos voluntariamente.",Habilitador_Social,"Alta – Una iniciativa análoga en Chile (Premio EC) podría catalizar y visibilizar innovaciones existentes, complementando políticas duras con motivación “blanda”.",Alta,"Una iniciativa análoga en Chile (Premio EC) podría catalizar y visibilizar innovaciones existentes, complementando políticas duras con motivación “blanda”.","Sí – Es relativamente sencillo instaurar un premio anual MMA/Corfo en 1 año, con apoyo de redes internacionales, para generar quick wins reputacionales y estimular actores locales.",Sí,"Es relativamente sencillo instaurar un premio anual MMA/Corfo en 1 año, con apoyo de redes internacionales, para generar quick wins reputacionales y estimular actores locales.",(TerritorioCircular),Comunicación (web oficial premio),–
