Case_ID,País,Pais_core8,Nombre oficial de la política/programa/instrumento,Año inicio–vigencia,Entidad líder (responsable),Tipo de instrumento,Inst_Regulatorio,Inst_EconFin,Inst_Cooperacion,Inst_Innovacion,Inst_CompraPublica,Inst_EstandarGuia,Inst_DatosTrazabilidad,Sectores involucrados,Flujos foco,Mecanismo de cooperación,Financiamiento,Programa asociado,Resultados reportados,KPI asociados,Barreras identificadas,Barreras_Tags,Habilitadores identificados,Habilitadores_Tags,Replicabilidad para Chile,Replicabilidad_nivel,Replicabilidad_justificacion_1linea,Quick win potencial,QuickWin_si_no,QuickWin_justificacion_1linea,Fuente primaria,Tipo de fuente,Fuente secundaria
CRI-01,Costa Rica,Sí,Estrategia Nacional de Economía Circular 2023–2050 (ENEC-CR),2023–2050,Ministerio Ambiente y Energía (MINAE),Estrategia nacional (visión largo plazo CE),No,No,No,No,No,No,No,"Agroindustria, Turismo, Residuos urbanos","Materiales, Residuos, Agua, Energía","Cooperación (gobierno, empresa, academia)",Público (y coop. GIZ),–,"Lanzada en 2023 con horizonte 2050. Objetivo: competitividad y resiliencia vía circularidad de todos los recursos. Propone 9R (rechazar, rediseñar... reciclar) y adopción de REP. Al 2025: establecer sistema nacional de indicadores CE y 5 demostrativos en sectores prioritarios. Aún no se reportan resultados, dado su reciente adopción.",N° iniciativas piloto implementadas; marco de indicadores operando (sí/no),Barrera_Financiera: Limitaciones presupuestarias internas podrían ralentizar implementación completa sin financiamiento externo sostenido.,Barrera_Financiera,Habilitador_Político: Fuerte alineación con la agenda de descarbonización 2050 y apoyo de la cooperación alemana (GIZ) dan impulso inicial y credibilidad técnica a la estrategia.,Habilitador_Cooperación;Habilitador_Financiero;Habilitador_Político,"Alta – Costa Rica ofrece modelo integrador ambiente-economía; Chile puede beneficiarse de enfoque 9R y combinarlo con su Estrategia Climática, replicando sinergias entre circularidad y metas carbono neutralidad.",Alta,"Costa Rica ofrece modelo integrador ambiente-economía; Chile puede beneficiarse de enfoque 9R y combinarlo con su Estrategia Climática, replicando sinergias entre circularidad y metas carbono neutralidad.","No – Estrategias de tan largo plazo requieren institucionalización y recursos constantes, no generarán “victorias rápidas” en 0–2 años por sí solas.",No,"Estrategias de tan largo plazo requieren institucionalización y recursos constantes, no generarán “victorias rápidas” en 0–2 años por sí solas.",,Estrategia nacional (ENEC-CR),"(GlobalFactor, anuncio)"
CRI-02,Costa Rica,Sí,Plan Nacional de Descarbonización 2018–2050,2019–2050,MINAE / Gobierno de Costa Rica,Estrategia climática (incluye economía circular),No,Sí,No,No,No,No,No,"Energía, Transporte, Residuos, Agro","Energía, Agua, Materiales (vía emisiones)",Cooperación (interministerial),Público + cooperación,–,"Plan emblemático con 10 ejes. Eje 8 (residuos) promueve economía circular y valorización: meta 2050 de valorización del 100% residuos orgánicos. Al 2022: 99.2% de electricidad de fuentes renovables, avance en movilidad eléctrica (>5.000 vehículos eléctricos circulando). Proyectos de compostaje municipal pilotos en 15 cantones redujeron ~20% residuos enviados a relleno.",% energía renovable; # vehículos eléctricos; % residuos orgánicos valorizados,"Barrera_Tecnológica: En transporte pesado y ciertos procesos industriales la tecnología limpia/circular aún no está disponible o es muy costosa, retrasando metas intermedias.",Barrera_Económica;Barrera_Tecnológica,"Habilitador_País: Visión país compartida en carbono neutralidad y liderazgo ambiental histórico de CR crean entorno favorable – sector privado y ciudadanía apoyan en general las acciones verdes, facilitando implementación transversal.",Habilitador_Social,Media – Chile tiene su Estrategia Climática a 2050; la experiencia tica muestra importancia de integrar circularidad en dicha planificación (ej. metas de residuos). Chile puede replicar algunas acciones de corto plazo (p.ej. pilotos de compostaje).,Media,Chile tiene su Estrategia Climática a 2050; la experiencia tica muestra importancia de integrar circularidad en dicha planificación (ej. metas de residuos). Chile puede replicar algunas acciones de corto plazo (p.ej. pilotos de compostaje).,No – Transformaciones en energía y sistemas productivos requieren plazos largos; no son quick wins inmediatos aunque orientan políticas.,No,Transformaciones en energía y sistemas productivos requieren plazos largos; no son quick wins inmediatos aunque orientan políticas.,,Estrategia nacional (clima),–
CRI-03,Costa Rica,Sí,Pago por Servicios Ambientales (PSA Bosques),1997–presente,Fondo Nacional Financiamiento Forestal (FONAFIFO),Económico (incentivo financiero ambiental),No,Sí,No,No,No,No,No,"Forestal, Agua (cuencas hidro), Agroforestería","Agua (calidad/cantidad), Subproductos (madera)","APP (fondo público-privado, usuarios pagan)",Mixto (impuesto combustibles + coop internac.),–,"Pionero mundial en PSA: ha destinado >USD $500 mill. a propietarios por conservar ~1,8 millones ha de bosques 1997-2022. Resultado: aumento de cobertura boscosa de 42% a >52% del territorio nacional (1990-2020) y protección de cuencas hídricas clave. Ha involucrado a compañías hidroeléctricas y embotelladoras cofinanciando la conservación por garantizar agua.",Ha protegidas bajo PSA; % territorio forestal; $ pagos anuales,"Barrera_Sostenibilidad: Dependencia de financiamiento (impuesto a combustibles fósiles 3.5%) – ingresos pueden disminuir con transición energética, creando desafío para mantener fondos PSA en el largo plazo.",Barrera_Financiera,"Habilitador_Social: Alto reconocimiento del valor natural en CR – el PSA goza de legitimidad pública, y ha logrado sinergias con comunidades locales (empleo rural) y cooperación (ej. programa conjunto con Alemania KfW) fortaleciendo su continuidad.",Habilitador_Cooperación;Habilitador_Financiero;Habilitador_Multinivel,"Media – Si bien Chile tiene menos tradición de PSA, podría implementar esquemas focalizados (ej. cuencas críticas para agua potable) inspirados en CR; replicabilidad parcial en corto plazo con pilotos locales.",Media,"Si bien Chile tiene menos tradición de PSA, podría implementar esquemas focalizados (ej. cuencas críticas para agua potable) inspirados en CR; replicabilidad parcial en corto plazo con pilotos locales.","Sí – Pilotos de PSA hídrico en cuencas (pago a propietarios aguas arriba) podrían lanzarse en 1-2 años vía convenios con empresas sanitarias, mostrando beneficios tangibles rápido.",Sí,"Pilotos de PSA hídrico en cuencas (pago a propietarios aguas arriba) podrían lanzarse en 1-2 años vía convenios con empresas sanitarias, mostrando beneficios tangibles rápido.",,Programa (política pública),–
ARG-01,Argentina,No,Programa Nacional “PRECICLO” (Fortalecimiento de la EC Inclusiva),2021–vigente,Min. Ambiente y Desarrollo Sost. (MAyDS),Cooperación (articulación comunidades),No,No,Sí,No,No,No,No,"Residuos domiciliarios (municipal), Reciclaje urbano","Residuos, Materiales (reciclables)",Triple hélice (gob.nacional-municipios-coop recicladores),Público (fondos MAyDS),–,"Creado por Res. 290/2021 para inclusión de recuperadores urbanos. Objetivos: sustituir tracción a sangre, mejorar recolección diferenciada, aumentar reciclaje en barrios populares. 2022: 36 municipios beneficiados con equipamiento (camiones, centros acopio); ~5.000 recicladores formados en gestión integral. Aún no hay cifras nacionales de aumento de reciclaje atribuibles directamente.",N° municipios participantes; N° recicladores integrados/formados; ton materiales recuperados en municipios piloto,Barrera_Federal: La gestión de residuos es municipal – coordinación Nación-municipios ha sido heterogénea; algunos municipios avanzan lento por capacidades técnicas limitadas.,Barrera_Institucional;Barrera_Territorial,"Habilitador_Social: Enfoque inclusivo con perspectiva de género y economía popular generó apoyo de ONG y cooperativas; el programa empodera recicladores, mejorando condiciones laborales y reconocimiento social del oficio.",Habilitador_Cooperación;Habilitador_Social,"Alta – Aborda problemática presente en Chile (recicladores de base, segregación informal). Chile puede adaptar un programa similar vía MMA+Municipios para fortalecer reciclaje inclusivo rápidamente.",Alta,"Aborda problemática presente en Chile (recicladores de base, segregación informal). Chile puede adaptar un programa similar vía MMA+Municipios para fortalecer reciclaje inclusivo rápidamente.","Sí – Con poca inversión, se pueden dotar municipios pilotos con infraestructura básica y formalizar recicladores en 1-2 años (alineado con Estrategia Residuos Chile).",Sí,"Con poca inversión, se pueden dotar municipios pilotos con infraestructura básica y formalizar recicladores en 1-2 años (alineado con Estrategia Residuos Chile).",,Resolución MAyDS + comunicado,–
ARG-02,Argentina,No,Proyecto Ley de Envases con Inclusión Social (en debate legislativo),2021–? (no aprobado aún),MAyDS / Congreso Nacional,Regulatorio (proyecto de ley EPR envases),Sí,No,No,No,No,No,No,Envases y empaques (post-consumo),"Residuos (envases), Materiales reciclables",Cooperación (enfoque inclusión recicladores),(No aplica – proyecto ley),–,"Buscaba crear un régimen nacional REP para envases, con tasa ambiental a productores para financiar infraestructura y cooperativas de recicladores. Contaba con apoyo de 200 cooperativas, pero enfrentó lobby industrial y no logró votación en 2022. Sin resultados, expuso barreras políticas para EC en Argentina.",(No aplica – no implementado),"Barrera_Política: Fuerte oposición de sectores empresariales y falta de consensos frenaron su aprobación, evidenciando dificultad para reformas ambientales ambiciosas sin acuerdo multi-actor.",Barrera_Social,Habilitador_Social: Amplio respaldo de la sociedad civil y recicladores organizados mostró demanda por soluciones inclusivas; sentó bases para reincorporar el tema en la agenda futura con mayor conciencia pública.,Habilitador_Social,"Media – Ilustra que la replicabilidad requiere trabajo previo de consenso. En Chile la Ley REP ya es vigente para envases, evitando este escollo; no obstante, incluye la lección de integrar a recicladores en la operación del REP.",Media,"Ilustra que la replicabilidad requiere trabajo previo de consenso. En Chile la Ley REP ya es vigente para envases, evitando este escollo; no obstante, incluye la lección de integrar a recicladores en la operación del REP.",No – No corresponde a quick win pues no se concretó; más bien es una señal de cautela sobre cómo implementar instrumentos REP con componente social sin generar oposición que retrase la política.,No,No corresponde a quick win pues no se concretó; más bien es una señal de cautela sobre cómo implementar instrumentos REP con componente social sin generar oposición que retrase la política.,,Proyecto de ley (no oficializado),–
ARG-03,Argentina,No,Economía Circular en Ciudades (Ej: Estrategia CE Ciudad de Buenos Aires),2020–2035 (CABA),Gobierno CABA (Agencia Ambiente),Estrategia subnacional (ciudad),No,No,No,No,No,No,No,"Construcción, Residuos Urbanos, Consumo","Residuos, Materiales, Energía (urbano)",Cooperación (ciudad-ONG-empresas),Público (ciudad),–,"Buenos Aires lanzó Estrategia BA Circular en 2020: metas a 2035 de basura cero en relleno, reciclaje 80% residuos secos. Logros intermedios: instalación de 16 plantas de reciclaje barrial, compostaje de 100 t/mes de orgánicos (2022), y normativa de construcción sustentable que reutiliza 15% materiales en obras públicas. La ciudad logró reducir 30% envío de RSU a relleno 2014-2021.",% residuos BA reciclados; ton compost producida; % residuos construcción reutilizados en obras,"Barrera_Jurisdiccional: La coordinación con el conurbano bonaerense es compleja – la ciudad depende de rellenos fuera de su jurisdicción, limitando impacto si el Área Metropolitana no adopta medidas similares.",Barrera_Institucional,"Habilitador_Local: Liderazgo político local y presión ciudadana por ambiente han permitido innovar (ej. “Camión Verde” de reciclaje, alianza con cooperativas Urbanores). El éxito de BA inspiró a otras ciudades argentinas a iniciar planes circulares.",Habilitador_Cooperación;Habilitador_Político;Habilitador_Social;Habilitador_Tecnológico,Alta – Grandes urbes chilenas pueden emular planes integrales de economía circular urbana (Santiago ya explora basura cero). Adaptar experiencias de BA es factible dado contexto urbano comparable.,Alta,Grandes urbes chilenas pueden emular planes integrales de economía circular urbana (Santiago ya explora basura cero). Adaptar experiencias de BA es factible dado contexto urbano comparable.,"Sí – A nivel ciudad se pueden implementar nuevas infraestructuras de valorización y normativas de construcción en <2 años, generando reducciones de residuos a corto plazo en áreas metropolitanas.",Sí,"A nivel ciudad se pueden implementar nuevas infraestructuras de valorización y normativas de construcción en <2 años, generando reducciones de residuos a corto plazo en áreas metropolitanas.",(Estrategia CABA),Estrategia local (CABA),–
BRA-01,Brasil,No,Estratégia Nacional de Economia Circular (ENEC Brasil) & Plano Nacional,2024 (Decr. 12.082/24) –,Ministério Desenvolvimento (MDIC),Regulatorio + Estrategia (decreto y plan),Sí,No,No,No,No,No,No,"Industria, Agro, Ciudades (multisector)","Materiales, Residuos, Agua, Energía",Triple hélice (foro nac. multi-actor),Público (fed. + part. privada),Plan Nal. EC 2025–2034,"Decreto 12.082/2024 instituyó la ENEC. En mayo 2025 se aprobó el Plano Nacional de EC 2025-2034 con 71 acciones en 5 ejes (normativa, innovación, eficiencia recursos, finanzas verdes, inclusión social). Más de 1.600 aportes en consulta pública. Prevé planes sectoriales (alimentos, automotriz, siderurgia, etc.). 85% de industrias brasileñas ya adoptan al menos una práctica circular.",N° acciones implementadas; N° planes sectoriales publicados; % industrias con prácticas CE,Barrera_Federativa: Coordinación en país de tamaño continental – variabilidad entre estados en capacidad para implementar acciones CE; se requerirá fuerte articulación interfederativa (reconocida en el plan).,Barrera_Institucional;Barrera_Territorial,"Habilitador_Político: Alto compromiso gubernamental interministerial – participación activa de Min. Ambiente, Industria, Hacienda, etc., integró CE en múltiples agendas públicas. Además, el lanzamiento coincidió con WCEF 2025 en Brasil, dando impulso internacional y visibilidad.",Habilitador_Institucional;Habilitador_Político;Habilitador_Social,Alta – La estrategia BR ofrece modelo integral con participación social amplia; Chile puede inspirarse en su enfoque multinivel e incluir ejes de financiamiento e inclusión social en su hoja de ruta.,Alta,La estrategia BR ofrece modelo integral con participación social amplia; Chile puede inspirarse en su enfoque multinivel e incluir ejes de financiamiento e inclusión social en su hoja de ruta.,"No – Desplegar un plan nacional con decenas de acciones y coordinar múltiples ministerios no es un quick win, sino un proceso a mediano plazo; conviene priorizar acciones específicas como quick wins en vez de todo el plan de golpe.",No,"Desplegar un plan nacional con decenas de acciones y coordinar múltiples ministerios no es un quick win, sino un proceso a mediano plazo; conviene priorizar acciones específicas como quick wins en vez de todo el plan de golpe.",,Decreto + Plan nacional,(artículo Movimiento Circular)
BRA-02,Brasil,No,Política Nacional de Residuos Sólidos (PNRS) – Ley 12.305,2010–vigente,Ministério do Meio Ambiente (MMA),Regulatorio (ley de residuos con EPR),Sí,No,No,No,No,No,No,"Residuos urbanos, Envases, Electrónicos","Residuos, Materiales, Energía (recuperación)",Cooperación (acuerdos setoriales EPR),Mixto (público + sector privado),–,"Ley pionera en AL: estableció principios de economía circular (3R) y responsabilidad compartida. Implementación: 2012-2020 firmados 12 acuerdos sectoriales (envases, electrodomésticos, lámparas, etc.). La tasa de reciclaje de envases urbanos ~22% (2020). Se clausuraron ~1.600 basurales a cielo abierto (2010-2020). Reconocimiento formal de catadores (recicladores) integrándolos en cadenas de valor.",% residuos reciclados; N° acuerdos sectoriales firmados; N° vertederos cerrados,Barrera_Implementación: Cumplimiento dispar – algunos objetivos (cierre total de basurales para 2014) no se lograron en plazo por falta de recursos en municipios pequeños.,Barrera_Seguimiento;Barrera_Territorial,Habilitador_Legal: Marco amplio obligó a desarrollar infraestructura de residuos en todo Brasil; la inclusión de recicladores via cooperativas (ej. en acuerdo envases) mejoró eficiencia y justicia social.,Habilitador_Cooperación;Habilitador_Legal;Habilitador_Social,"Alta – Chile ya tiene Ley REP inspirada en PNRS; seguir fortaleciendo su implementación tomando lecciones de Brasil (importancia de financiamiento a municipios, formalización recicladores) es totalmente pertinente.",Alta,"Chile ya tiene Ley REP inspirada en PNRS; seguir fortaleciendo su implementación tomando lecciones de Brasil (importancia de financiamiento a municipios, formalización recicladores) es totalmente pertinente.","No – PNRS muestra que resultados toman años; quick wins deben buscarse en acciones puntuales (no en la ley en sí, que es de alcance amplio y largo plazo).",No,"PNRS muestra que resultados toman años; quick wins deben buscarse en acciones puntuales (no en la ley en sí, que es de alcance amplio y largo plazo).",,Ley nacional (residuos),–
BRA-03,Brasil,No,Iniciativa “Mineração Circular” (Vale & Ministerio de Minas),2019–presente (programa),Ministerio de Minas + IBRAM (sector),Innovación/Cooperación (iniciativa sectorial),No,No,Sí,Sí,No,No,No,"Minería (mineral de hierro, metales)","Relaves y residuos mineros, Agua",APP (empresas mineras + gob. e inst. inv.),Privado (Vale + fondos sector),–,"Empresas líderes (Vale, Nexa) invierten en proyectos de reuso de relaves: ej. Vale construyó primer depósito “cero relave líquido” con filtración; lanzó productos comerciales a partir de residuos mineros (ej. relleno de construcción). En 2025 IBRAM reportó >30 iniciativas de economía circular en minería. Reducción proyectada de 5% en generación de relaves 2020-2025 gracias a nuevas tecnologías.",N° iniciativas CE en minería; % relaves reutilizados; m³ agua reutilizada,"Barrera_Técnica: Limitantes en I+D – algunas soluciones (e.g. uso masivo de relaves en cemento) están en fase piloto, no probadas a gran escala, frenando mayor aprovechamiento inmediato.",,Habilitador_Empresarial: La gran minería brasileña ve valor en circularidad por competitividad – altos costos de disposición forzaron innovación. Colaboración con centros de investigación nacionales (CETEM) acelera desarrollo de tecnologías adecuadas.,Habilitador_Tecnológico,"Alta – Chile, con su sector minero, puede adaptar estas experiencias: reutilización de relaves en materiales de construcción o extracción de elementos de valor. La colaboración público-privada es replicable vía clúster minero-circular.",Alta,"Chile, con su sector minero, puede adaptar estas experiencias: reutilización de relaves en materiales de construcción o extracción de elementos de valor. La colaboración público-privada es replicable vía clúster minero-circular.","Sí – Identificar 1-2 faenas para piloto de “minería circular” (ej. relaves como insumo en camino) es viable en corto plazo con apoyo de empresas y centros locales, generando caso demostrativo rápido.",Sí,"Identificar 1-2 faenas para piloto de “minería circular” (ej. relaves como insumo en camino) es viable en corto plazo con apoyo de empresas y centros locales, generando caso demostrativo rápido.",,Informe sectorial (IBRAM),"(Cofecon, reflexión sector)"
PER-01,Perú,No,Hoja de Ruta de Economía Circular en Industria Manufacturera y Comercio (DS 018-2025-PRODUCE),2025–2030,Ministerio de la Producción + Minam,Estrategia sectorial (industria y comercio),No,No,No,No,No,No,No,"Manufactura, Comercio interno, MIPYMEs","Materiales, Residuos, Energía (eficiencia)","Cooperación (público-privada, Cumbre Circular)",Público + cooperación UE,–,Lanzada en I Cumbre Produce Circular (12/08/2025). Plantea transformar residuos industriales en nuevas materias primas. Meta destacada: crear >300 mil empleos verdes a 2030. Enfoque en MIPYMEs – facilita acceso a tecnologías y financiamiento sostenible. Resultados iniciales: compromisos de inversión privada en economía circular por USD 40 millones anunciados tras la Cumbre. Espera reducir 20% residuos industriales al 2030.,N° empleos verdes proyectados; % reducción residuos industriales; N° MIPYMEs asistidas,Barrera_Operativa: Necesidad de transferir tecnología a MIPYMEs – muchas carecen de capacidades para adoptar procesos circulares sin asistencia técnica continua.,Barrera_Tecnológica,"Habilitador_Político: Trabajo conjunto Minam-Produce (ambiente + industria) muestra alineamiento de políticas; apoyo internacional (UE, Alemania) provee know-how y fondos semilla, aumentando viabilidad de implementación temprana.",Habilitador_Financiero;Habilitador_Político,"Alta – Sector manufacturero chileno (Corfo) puede emular una hoja de ruta enfocada en pymes industriales, con meta de empleos verdes. La colaboración interministerial es replicable dado marco actual de producción limpia en Chile.",Alta,"Sector manufacturero chileno (Corfo) puede emular una hoja de ruta enfocada en pymes industriales, con meta de empleos verdes. La colaboración interministerial es replicable dado marco actual de producción limpia en Chile.","No – Aunque contiene acciones concretas, su implementación toma tiempo y depende de cambios tecnológicos; no generará quick win inmediato salvo quizás pilotos aislados.",No,"Aunque contiene acciones concretas, su implementación toma tiempo y depende de cambios tecnológicos; no generará quick win inmediato salvo quizás pilotos aislados.",,Decreto Supremo + Plan,(discurso ministerial)
PER-02,Perú,No,Hoja de Ruta Nacional de Economía Circular al 2030 (multi-sector),2020–2030,Ministerio del Ambiente (MINAM),Estrategia nacional (marco transversal),No,No,No,No,No,No,No,"Manufactura, Agro, Ciudades (residuos)","Materiales, Residuos, Agua, Energía",Cooperación (Gob. + UE + GIZ),Público + cooperación,–,"Aprobada vía DS 003-2020-PRODUCE para industria; actualizada 2024 integrando más sectores. Objetivos: eficiencia energética e hídrica en plantas, economía circular en regiones. Logros a 2023: 3 regiones piloto con hojas de ruta propias (Arequipa, Cusco, Piura), inversiones en reciclaje que generaron 1.200 empleos locales. Evaluaciones CEPAL señalan potencial de +4% PIB al 2030 si se implementa plenamente. Monitoreo en curso.",N° regiones con planes CE; empleos creados; % mejora intensidad energética industrial,"Barrera_Institucional: Coordinación intersectorial aún débil – algunos sectores productivos clave (minería, transportes) no incorporados plenamente en primeras versiones de la hoja de ruta.",Barrera_Institucional,Habilitador_Planificación: Integración en Plan Nacional de Competitividad 2019-2030 (vía DS 203-2024-EF) elevó la EC a prioridad económica; esto garantiza recursos y seguimiento de alto nivel.,Habilitador_Político,"Alta – Perú muestra la importancia de vincular EC con competitividad; Chile puede integrar su economía circular en estrategias de productividad y desarrollo, facilitando financiamiento y apoyo político.",Alta,"Perú muestra la importancia de vincular EC con competitividad; Chile puede integrar su economía circular en estrategias de productividad y desarrollo, facilitando financiamiento y apoyo político.",No – Requiere tiempo consolidar esfuerzos en todo el país; Chile debe enfocarse en componentes ejecutables rápidamente antes que en la estrategia global para ver quick wins.,No,Requiere tiempo consolidar esfuerzos en todo el país; Chile debe enfocarse en componentes ejecutables rápidamente antes que en la estrategia global para ver quick wins.,(MINAM/Produce),Estrategia nacional (hoja de ruta),(Gob.pe anuncio oficial)